,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2020-12-29,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,14
2020-12-30,217,0,7,0,0,0,0,7,0,0,7,0,0,0,0,0,35,0,0,35
2020-12-31,350,0,21,0,0,0,0,14,7,0,14,0,0,0,0,0,56,0,0,70
2021-01-01,413,0,21,0,0,0,0,28,14,0,21,0,0,0,0,0,70,0,0,84
2021-01-02,553,0,35,0,0,0,0,35,14,0,28,0,7,0,0,7,98,0,0,112
2021-01-03,630,7,42,0,0,0,0,49,14,0,35,0,7,0,0,7,112,0,0,126
2021-01-04,917,7,56,0,7,0,0,77,21,0,42,0,7,0,0,7,175,0,7,203
2021-01-05,1323,14,84,0,7,0,7,112,28,7,63,0,7,0,0,14,238,0,14,280
2021-01-06,1757,21,105,0,7,0,7,161,42,7,91,0,14,0,0,21,322,0,21,385
2021-01-07,2240,28,133,7,7,7,14,224,70,14,119,0,21,0,7,28,434,0,28,511
2021-01-08,2751,42,161,7,14,14,21,287,84,21,154,7,28,7,7,42,574,0,28,644
2021-01-09,3115,49,189,7,14,14,28,343,98,28,175,7,28,7,7,49,644,0,35,749
2021-01-10,3521,63,203,7,14,14,28,399,105,28,203,14,35,7,14,49,756,0,35,847
2021-01-11,3822,63,217,7,21,21,28,427,119,28,210,14,35,7,14,56,833,0,42,917
2021-01-12,3997,70,224,7,21,21,28,441,126,28,217,21,42,7,14,56,882,0,42,966
2021-01-13,4123,77,231,7,21,21,28,455,126,28,231,21,42,7,14,56,924,0,42,1008
2021-01-14,4242,77,245,7,21,21,35,462,133,35,238,21,49,7,14,56,938,0,42,1036
2021-01-15,4319,77,245,7,21,21,35,469,133,35,238,21,49,7,14,63,966,0,42,1057
2021-01-16,4361,77,252,7,21,21,35,469,140,35,245,21,49,7,14,63,973,0,42,1057
2021-01-17,4389,77,252,7,21,21,35,476,140,35,245,21,49,7,14,63,980,0,42,1064
2021-01-18,4417,77,252,7,21,21,35,483,140,35,245,21,49,7,14,63,987,0,42,1071
2021-01-19,4438,77,259,7,21,21,35,497,140,35,252,21,49,7,14,63,994,0,42,1085
2021-01-20,4473,77,266,7,21,21,35,504,147,35,252,21,49,7,21,63,1001,0,49,1099
2021-01-21,4501,77,266,7,21,28,35,511,147,35,259,21,49,7,21,63,1008,0,49,1106
2021-01-22,4522,77,266,7,21,28,35,511,154,35,266,21,49,7,21,63,1015,0,49,1113
2021-01-23,4536,77,266,7,21,28,35,511,154,35,266,21,49,7,21,63,1022,0,49,1120
2021-01-24,4557,77,273,7,21,28,35,518,154,35,266,21,49,7,21,63,1029,0,49,1127
2021-01-25,4571,77,273,7,21,28,35,518,154,35,273,21,49,7,21,70,1036,0,49,1127
